,COD_COM,COMUNE,POP,provincia_dom,tot_dose1,tot_dose2,%1Dose,%2Dose
0,019009,Calvatone,1164,,,,,
1,019010,Camisano,1233,CREMONA,353.0,117.0,28.629359286293592,9.489051094890511
2,019011,Campagnola Cremasca,672,CREMONA,182.0,53.0,27.083333333333332,7.886904761904762
3,018113,Pieve del Cairo,1816,PAVIA,486.0,231.0,26.762114537444933,12.720264317180616
4,019068,Persico Dosimo,3351,CREMONA,1029.0,368.0,30.70725156669651,10.981796478663085
5,016156,Palazzago,4479,BERGAMO,1052.0,219.0,23.487385577137754,4.8894842598794375
6,016157,Palosco,5709,BERGAMO,1691.0,1115.0,29.619898406025573,19.53056577334034
7,018123,Robbio,5805,PAVIA,1425.0,319.0,24.54780361757106,5.49526270456503
8,018124,Robecco Pavese,539,PAVIA,128.0,42.0,23.74768089053803,7.792207792207792
9,020021,Curtatone,14904,MANTOVA,3853.0,1644.0,25.85212023617821,11.030595813204508
10,014035,Madesimo,529,,,,,
11,019069,Pescarolo ed Uniti,1510,CREMONA,410.0,139.0,27.1523178807947,9.205298013245033
12,019070,Pessina Cremonese,605,CREMONA,191.0,80.0,31.570247933884296,13.223140495867769
13,018052,Confienza,1573,PAVIA,223.0,101.0,14.17673235855054,6.42085187539733
14,017118,Niardo,2012,BRESCIA,417.0,211.0,20.725646123260436,10.487077534791252
15,018035,Cassolnovo,6878,PAVIA,1409.0,541.0,20.48560628089561,7.8656586216923525
16,017143,Pisogne,7921,BRESCIA,2273.0,990.0,28.695871733367,12.498421916424693
17,108002,Aicurzio,2105,MONZA E DELLA BRIANZA,446.0,169.0,21.18764845605701,8.028503562945367
18,016215,Torre de' Busi,2181,,,,,
19,098058,Turano Lodigiano,1538,LODI,288.0,104.0,18.725617685305593,6.7620286085825745
20,097009,Bosisio Parini,3384,,,,,
21,097010,Brivio,4503,LECCO,1211.0,562.0,26.893182322895846,12.4805685098823
22,013253,Alta Valle Intelvi,2895,,,,,
23,015071,Cerro al Lambro,5078,MILANO,1216.0,440.0,23.946435604568727,8.66482867270579
24,016134,Mezzoldo,161,,,,,
25,012075,Gerenzano,10789,,,,,
26,012076,Germignaga,3879,,,,,
27,012077,Golasecca,2609,,,,,
28,012093,Luvinate,1323,VARESE,383.0,155.0,28.94935752078609,11.715797430083144
29,012095,Malgesso,1255,,,,,
30,013145,Menaggio,3092,COMO,1021.0,483.0,33.02069857697283,15.620957309184993
31,013147,Merone,4041,COMO,886.0,319.0,21.925266023261567,7.8940856223707
32,016101,Fontanella,4702,BERGAMO,1195.0,348.0,25.414717141641855,7.401105912377711
33,016102,Fonteno,565,,,,,
34,015113,Inveruno,8594,MILANO,1979.0,737.0,23.027693739818478,8.575750523621132
35,016073,Chiuduno,6082,BERGAMO,1690.0,570.0,27.786912199934232,9.371917132522197
36,015237,Vignate,9262,MILANO,2096.0,572.0,22.63010148995897,6.175771971496437
37,015242,Vimodrone,16856,MILANO,4071.0,1341.0,24.151637399145706,7.95562411010916
38,015243,Vittuone,8963,,,,,
39,015244,Vizzolo Predabissi,3996,MILANO,1039.0,423.0,26.001001001001,10.585585585585585
40,015114,Inzago,11258,MILANO,3000.0,1018.0,26.647717178895007,9.042458696038373
41,015115,Lacchiarella,8983,MILANO,2276.0,764.0,25.336747189135032,8.504953801625293
42,015116,Lainate,25713,MILANO,5810.0,2190.0,22.5955742231556,8.517092521292732
43,016046,Calusco d'Adda,8260,,,,,
44,016047,Calvenzano,4295,BERGAMO,1165.0,389.0,27.124563445867288,9.057043073341095
45,016048,Camerata Cornello,598,,,,,
46,015146,Milano,1406242,MILANO,323169.0,136563.0,22.981037403235003,9.711201912615325
47,015150,Morimondo,1048,,,,,
48,015205,Segrate,35597,MILANO,9318.0,3150.0,26.17636317667219,8.84906031407141
49,015206,Senago,21678,MILANO,4210.0,1767.0,19.42061075744995,8.151120952117354
50,015209,Sesto San Giovanni,81706,MILANO,18848.0,8556.0,23.068073336107506,10.471691185469856
51,016049,Canonica d'Adda,4253,BERGAMO,981.0,323.0,23.06607100869974,7.594639078297672
52,016092,Dossena,897,BERGAMO,243.0,66.0,27.090301003344482,7.357859531772576
53,015247,Zibido San Giacomo,6792,MILANO,1479.0,478.0,21.775618374558302,7.037691401648999
54,015248,Villa Cortese,6189,MILANO,1431.0,605.0,23.121667474551625,9.775407981903378
55,015249,Vanzaghello,5240,MILANO,1084.0,387.0,20.68702290076336,7.385496183206107
56,015250,Baranzate,11838,MILANO,1836.0,834.0,15.509376583882412,7.045108971109984
57,017049,Cerveno,657,BRESCIA,165.0,76.0,25.114155251141554,11.567732115677321
58,108025,Lazzate,7740,MONZA E DELLA BRIANZA,1531.0,641.0,19.780361757105943,8.281653746770026
59,108026,Lesmo,8534,MONZA E DELLA BRIANZA,1774.0,741.0,20.787438481368643,8.682915397234591
60,108027,Limbiate,34319,,,,,
61,108028,Lissone,46034,MONZA E DELLA BRIANZA,9870.0,4205.0,21.440674284224702,9.134552721901203
62,013170,Orsenigo,2681,COMO,626.0,203.0,23.349496456546063,7.5718015665796345
63,013134,Longone al Segrino,1929,COMO,487.0,218.0,25.246241575946087,11.301192327630897
64,013135,Luisago,2734,,,,,
65,013136,Lurago d'Erba,5342,COMO,1255.0,484.0,23.493073755147886,9.060277049794085
66,013137,Lurago Marinone,2575,,,,,
67,013138,Lurate Caccivio,9766,COMO,2225.0,895.0,22.783125127995085,9.164448085193529
68,013139,Magreglio,653,,,,,
69,013044,Carate Urio,1138,COMO,295.0,109.0,25.922671353251317,9.578207381370826
70,013045,Carbonate,2926,COMO,633.0,211.0,21.63362952836637,7.21120984278879
71,013046,Carimate,4463,COMO,955.0,341.0,21.398162670849203,7.640600492941967
72,013047,Carlazzo,3113,COMO,597.0,192.0,19.177642145840025,6.167683906199807
73,013048,Carugo,6612,COMO,1267.0,496.0,19.162129461584996,7.50151240169389
74,013024,Bizzarone,1682,COMO,299.0,116.0,17.776456599286565,6.896551724137931
75,013178,Peglio,179,COMO,34.0,12.0,18.99441340782123,6.70391061452514
76,013183,Pianello del Lario,1056,COMO,306.0,173.0,28.977272727272727,16.382575757575758
77,013184,Pigra,237,COMO,97.0,14.0,40.92827004219409,5.9071729957805905
78,017057,Collebeato,4597,BRESCIA,1609.0,613.0,35.00108766586904,13.33478355449206
79,017063,Corteno Golgi,1928,,,,,
80,013053,Casnate con Bernate,4970,,,,,
81,012109,Origgio,7891,VARESE,1599.0,690.0,20.263591433278417,8.744138892409074
82,019109,Trescore Cremasco,2793,CREMONA,621.0,235.0,22.234156820622985,8.413891872538489
83,016243,Vilminore di Scalve,1447,BERGAMO,422.0,137.0,29.163787145818937,9.467864547339323
84,016244,Zandobbio,2715,,,,,
85,018168,Valle Lomellina,2104,,,,,
86,018169,Valle Salimbene,1465,,,,,
87,018135,San Genesio ed Uniti,3956,PAVIA,1202.0,473.0,30.38422649140546,11.956521739130435
88,018136,San Giorgio di Lomellina,1055,PAVIA,243.0,58.0,23.033175355450236,5.497630331753554
89,019110,Trigolo,1675,CREMONA,552.0,318.0,32.95522388059702,18.98507462686567
90,019111,Vaiano Cremasco,3630,CREMONA,929.0,333.0,25.592286501377412,9.173553719008265
91,019112,Vailate,4492,CREMONA,1162.0,431.0,25.868210151380232,9.594835262689225
92,019046,Gadesco-Pieve Delmona,1910,,,,,
93,019047,Genivolta,1140,CREMONA,275.0,108.0,24.12280701754386,9.473684210526315
94,019094,Sergnano,3511,CREMONA,915.0,357.0,26.060951295927087,10.168043292509257
95,018177,Vigevano,62969,PAVIA,14970.0,6141.0,23.773602883958773,9.752417856405533
96,019064,Ostiano,2800,,,,,
97,019034,Credera Rubbiano,1565,CREMONA,444.0,162.0,28.370607028753994,10.351437699680512
98,019035,Crema,34504,CREMONA,11057.0,4544.0,32.04555993507999,13.169487595641085
99,019115,Voltido,339,,,,,
100,015097,Cusago,4225,MILANO,887.0,357.0,20.994082840236686,8.449704142011834
101,015098,Cusano Milanino,18335,,,,,
102,016037,Brembate,8504,,,,,
103,016038,Brembate di Sopra,7894,BERGAMO,2017.0,726.0,25.551051431466938,9.196858373448189
104,016089,Curno,7462,,,,,
105,016067,Cazzano Sant'Andrea,1639,BERGAMO,298.0,98.0,18.181818181818183,5.979255643685174
106,015074,Cesano Boscone,23459,MILANO,6087.0,2614.0,25.947397587279934,11.142844963553433
107,015076,Cesate,14361,MILANO,2984.0,1266.0,20.778497319128196,8.815542093168999
108,016001,Adrara San Martino,2185,BERGAMO,535.0,290.0,24.48512585812357,13.272311212814646
109,015099,Dairago,6405,MILANO,1204.0,434.0,18.797814207650273,6.775956284153006
110,015101,Dresano,2991,MILANO,697.0,267.0,23.303243062520895,8.926780341023068
111,015103,Gaggiano,9095,MILANO,2093.0,691.0,23.012644310060473,7.597581088510171
112,016090,Cusio,225,BERGAMO,79.0,31.0,35.111111111111114,13.777777777777779
113,016091,Dalmine,23611,BERGAMO,6216.0,2043.0,26.32671212570412,8.652746601160477
114,015077,Cinisello Balsamo,74142,,,,,
115,015078,Cisliano,4850,MILANO,940.0,358.0,19.38144329896907,7.381443298969073
116,015178,Pozzuolo Martesana,8490,MILANO,2088.0,666.0,24.593639575971732,7.84452296819788
117,015179,Pregnana Milanese,7336,,,,,
118,016053,Caravaggio,16262,BERGAMO,4295.0,1320.0,26.41126552699545,8.11708276964703
119,016055,Carobbio degli Angeli,4760,BERGAMO,1091.0,323.0,22.92016806722689,6.785714285714286
120,015035,Bubbiano,2409,MILANO,494.0,130.0,20.50643420506434,5.3964300539643
121,015192,San Donato Milanese,32372,MILANO,8932.0,3602.0,27.591745953292968,11.126899789941925
122,015194,San Giorgio su Legnano,6689,MILANO,1537.0,606.0,22.978023620870086,9.059650171924055
123,015195,San Giuliano Milanese,38095,MILANO,8537.0,3098.0,22.40976506103163,8.132300826880169
124,015130,Magenta,24082,MILANO,6094.0,2672.0,25.305207208703596,11.09542396810896
125,015131,Magnago,9228,MILANO,1745.0,744.0,18.909839618552233,8.062418725617686
126,015134,Marcallo con Casone,6135,,,,,
127,015136,Masate,3589,,,,,
128,015181,Rescaldina,14134,MILANO,2889.0,1154.0,20.440073581434838,8.164709211829631
129,015182,Rho,50053,MILANO,13056.0,5154.0,26.08435058837632,10.297085089804806
130,016017,Azzone,386,BERGAMO,104.0,37.0,26.94300518134715,9.585492227979275
131,015036,Buccinasco,26817,MILANO,6177.0,2072.0,23.033896408994295,7.72644218219786
132,015038,Buscate,4597,MILANO,909.0,349.0,19.773765499238635,7.591907765934305
133,015040,Bussero,8391,,,,,
134,015041,Busto Garolfo,13863,MILANO,2991.0,1121.0,21.575416576498593,8.086272812522543
135,017034,Calvisano,8452,BRESCIA,1702.0,610.0,20.137245622337907,7.217226691907241
136,017035,Capo di Ponte,2446,BRESCIA,647.0,339.0,26.451349141455438,13.859362224039248
137,017064,Corzano,1409,BRESCIA,328.0,111.0,23.278921220723916,7.877927608232789
138,017095,Lozio,386,,,,,
139,017096,Lumezzane,21891,BRESCIA,5145.0,1991.0,23.502809373715227,9.095061897583482
140,017077,Gavardo,12236,BRESCIA,2883.0,1091.0,23.56162144491664,8.916312520431514
141,017068,Edolo,4450,BRESCIA,1105.0,586.0,24.831460674157302,13.168539325842696
142,017036,Capovalle,349,BRESCIA,114.0,42.0,32.664756446991404,12.034383954154729
143,015169,Paullo,11172,MILANO,2442.0,970.0,21.858216970998924,8.682420336555674
144,016222,Urgnano,9850,,,,,
145,019113,Vescovato,3862,,,,,
146,019114,Volongo,483,CREMONA,119.0,38.0,24.63768115942029,7.867494824016563
147,016203,Sotto il Monte Giovanni XXIII,4501,BERGAMO,941.0,295.0,20.9064652299489,6.554099089091313
148,016204,Sovere,5234,BERGAMO,1641.0,572.0,31.352693924340848,10.928544134505158
149,016205,Spinone al Lago,991,BERGAMO,257.0,79.0,25.93340060544904,7.971745711402623
150,019048,Gerre de' Caprioli,1331,,,,,
151,019049,Gombito,624,CREMONA,171.0,77.0,27.403846153846153,12.33974358974359
152,019050,Grontardo,1502,CREMONA,425.0,156.0,28.29560585885486,10.386151797603196
